State ID,State Name,State Name (Hindi),Division ID,Division Name,Division Name (Hindi),District Name,District ID,District Name (Hindi),Block ID,Block Name,Block Name (Hindi),Present in IMD Agromet
1,Andhra Pradesh,आंध्र प्रदेश,195,Zone 1,क्षेत्र १,Srikakulam,0101,श्रीकाकुलम,684,Amadalavalasa,अमुदलवलासा,TRUE
1,Andhra Pradesh,आंध्र प्रदेश,195,Zone 1,क्षेत्र १,Srikakulam,0101,श्रीकाकुलम,685,Bhamini,भामिनी,TRUE
1,Andhra Pradesh,आंध्र प्रदेश,195,Zone 1,क्षेत्र १,Srikakulam,0101,श्रीकाकुलम,686,Burja,बुर्ज,TRUE
1,Andhra Pradesh,आंध्र प्रदेश,195,Zone 1,क्षेत्र १,Srikakulam,0101,श्रीकाकुलम,687,Etcherla,Etcherla,TRUE
1,Andhra Pradesh,आंध्र प्रदेश,195,Zone 1,क्षेत्र १,Srikakulam,0101,श्रीकाकुलम,688,Ganguvarisigadam,गंगुवरिसिगदम,TRUE
1,Andhra Pradesh,आंध्र प्रदेश,195,Zone 1,क्षेत्र १,Srikakulam,0101,श्रीकाकुलम,689,Gara,गारा,TRUE
1,Andhra Pradesh,आंध्र प्रदेश,195,Zone 1,क्षेत्र १,Srikakulam,0101,श्रीकाकुलम,690,Hiramandalam,हीरामंडलम,TRUE
1,Andhra Pradesh,आंध्र प्रदेश,195,Zone 1,क्षेत्र १,Srikakulam,0101,श्रीकाकुलम,691,Ichchapuram,इच्छापुरम,TRUE
1,Andhra Pradesh,आंध्र प्रदेश,195,Zone 1,क्षेत्र १,Srikakulam,0101,श्रीकाकुलम,692,Jalumuru,जालुमुरु,TRUE
1,Andhra Pradesh,आंध्र प्रदेश,195,Zone 1,क्षेत्र १,Srikakulam,0101,श्रीकाकुलम,693,Kanchili,कांची,TRUE
1,Andhra Pradesh,आंध्र प्रदेश,195,Zone 1,क्षेत्र १,Srikakulam,0101,श्रीकाकुलम,694,Kaviti,कविता,TRUE
1,Andhra Pradesh,आंध्र प्रदेश,195,Zone 1,क्षेत्र १,Srikakulam,0101,श्रीकाकुलम,695,Kotabommili,कोटाबोमिली,TRUE
1,Andhra Pradesh,आंध्र प्रदेश,195,Zone 1,क्षेत्र १,Srikakulam,0101,श्रीकाकुलम,696,Kothuru,कोथुरु,TRUE
1,Andhra Pradesh,आंध्र प्रदेश,195,Zone 1,क्षेत्र १,Srikakulam,0101,श्रीकाकुलम,697,Laveru,लावेरू,TRUE
1,Andhra Pradesh,आंध्र प्रदेश,195,Zone 1,क्षेत्र १,Srikakulam,0101,श्रीकाकुलम,698,Laxminarasupeta,लक्ष्मीनरसुपेटा,TRUE
1,Andhra Pradesh,आंध्र प्रदेश,195,Zone 1,क्षेत्र १,Srikakulam,0101,श्रीकाकुलम,699,Mandasa,मंदासा,TRUE
1,Andhra Pradesh,आंध्र प्रदेश,195,Zone 1,क्षेत्र १,Srikakulam,0101,श्रीकाकुलम,700,Meliaputtu,मेलियापुत्तु,TRUE
